Time,output
1410,3790.63
1411,3785.94
1412,3786.23
1413,3782.03
1414,3777.09
1415,3762.14
1416,3774.76
1417,3738.11
1418,3705.85
1419,3693.74
1420,3678.19
1421,3683.62
1422,3679.93
1423,3678.57
1424,3645.78
1425,3636.69
1426,3616.28
1427,3618.3
1428,3627.1
1429,3578.62
1430,3540.94
1431,3517.91
1432,3531.25
1433,3534.66
1434,3515.19
1435,3522.79
1436,3461.63
1437,3458.77
1438,3419.67
1439,3420.76
1440,3429.43
1441,3396.77
1442,3371.16
1443,3343.31
1444,3326.63
1445,3328.5
1446,3323.47
1447,3322.02
1448,3318.41
1449,3308.28
1450,3282.06
1451,3246.46
1452,3249.79
1453,3239.15
1454,3184.52
1455,3173.91
1456,3186.48
1457,3179.85
1458,3139.18
1459,3110.19
1500,3094.1
1501,3083.11
1502,3078.58
1503,3068.74
1504,3050.24
1505,3001.57
1506,2980.16
1507,2983.67
1508,2991.81
1509,2974.52
1510,2938.23
1511,2928.21
1512,2915.48
1513,2912.13
1514,2878.3
1515,2885.78
1516,2896.87
1517,2865.04
1518,2821.56
1519,2800.41
1520,2776.67
1521,2761.53
1522,2736.02
1523,2722.22
1524,2723.71
1525,2710.83
1526,2666.18
1527,2650.61
1528,2633.65
1529,2609.97
1530,2581.22
1531,2578.8
1532,2565.4
1533,2558.62
1534,2544.3
1535,2529.93
1536,2506.94
1537,2490.6
1538,2469.09
1539,2443.15
1540,2435.23
1541,2411.23
1542,2400.84
1543,2392.1
1544,2380.08
1545,2353.19
1546,2342.5
1547,2322.92
1548,2315.52
1549,2289.67
1550,2251.3
1551,2264.56
1552,2274.12
1553,2254.35
1554,2245.12
1555,2233.19
1556,2224.75
1557,2216.28
1558,2182.36
1559,2168.7
1600,2145.54
1601,2121.06
1602,2097.61
1603,2069.02
1604,2046.23
1605,2018.12
1606,1975.84
1607,1953.37
1608,1949.76
1609,1920.63
1610,1892.39
1611,1856.41
1612,1838.07
1613,1815.1
1614,1802.81
1615,1788.75
1616,1763.7
1617,1745.21
1618,1723.68
1619,1695.05
1620,1681.16
1621,1665.51
1622,1654.69
1623,1618.32
1624,1587.57
1625,1569.25
1626,1548.34
1627,1536.91
1628,1518.01
1629,1487.85
1630,1467.93
1631,1455.08
1632,1438.76
1633,1405.15
1634,1387.25
1635,1366.74
1636,1331.37
1637,1319.75
1638,1296.33
1639,1273.33
1640,1290.63
1641,1307.89
1642,1319.81
1643,1310.48
1644,1315.16
1645,1316.27
1646,1291.88
1647,1264.22
1648,1248.76
1649,1242.39
1650,1215.92
1651,1194.82
1652,1191.3
1653,1198.6
1654,1206.44
1655,1209.94
1656,1204.54
1657,1186.71
1658,1154.77
1659,1138.27
1700,1124.1
1701,1113.86
1702,1095.77
1703,1068.06
1704,1031.7
1705,1012.38
1706,993.26
1707,975.73
1708,954.45
1709,940.98
1710,927.81
1711,901.89
1712,883.7
1713,863.04
1714,832.19
1715,821.31
1716,798.08
1717,779.59
1718,760.44
1719,735.13
1720,718.89
1721,697.99
1722,678.39
1723,660.22
1724,645.6
1725,631.31
1726,613.7
1727,593.11
1728,573.24
1729,548.19
1730,533.84
1731,514.23
1732,498.06
1733,484.76
1734,470.49
1735,453.11
1736,438.95
1737,424.03
1738,407.33
1739,393.59
1740,377.85
1741,366.16
1742,351.98
1743,338.53
1744,327.02
1745,314.8
1746,301.55
1747,290.33
1748,279.71
1749,267.57
1750,257.66
1751,247.03
1752,234.55
1753,222.17
1754,210.79
1755,200.74
1756,189.76
1757,178.13
1758,168.18
1759,160.15
1800,150.69
1801,142.27
1802,133.62
1803,125.39
1804,116.93
1805,109.19
1806,101.34
1807,93.54
1808,86.26
1809,78.81
1810,71.71
1811,66.16
1812,60.24
1813,54.52
1814,45.14
1815,39.85
1816,26.05
1817,24.3
1818,13.28
1819,14.5
1820,5.85
1821,4.19
1822,3.14
1823,1.88
1824,1.27
1825,0.99
1826,0.69
1827,0.6
1828,0.58
1829,0.55
1830,0.55
1831,0.49
1832,0.49
1833,0.45
1834,0.44
1835,0.43
