Time,output
1146,3447.56
1147,3170.84
1148,3529.53
1149,3044.26
1150,2392.86
1151,3694.16
1152,3466.65
1153,4338.74
1154,4396.07
1155,3358.21
1156,3298.86
1157,3124.43
1158,3261.59
1159,4587.03
1200,4542.26
1201,4515.54
1202,4636.71
1203,3944.66
1204,4884.69
1205,3610.49
1206,3519.62
1207,4258.95
1208,4819.97
1209,4053.93
1210,4874.04
1211,4572.38
1212,3863.8
1213,3403.12
1214,3726.04
1215,4141.25
1216,3732.6
1217,3407.54
1218,3086.3
1219,3609.83
1220,3507.56
1221,3280.24
1222,4051.52
1223,4277.7
1224,4068.87
1225,2907.78
1226,2892.78
1227,3993.14
1228,3052.28
1229,3356.41
1230,2167.55
1231,2560.88
1232,2813.61
1233,3115.99
1234,3514.86
1235,4341.13
1236,3808.14
1237,3061.24
1238,2261.54
1239,2362.95
1240,2630.41
1241,2603.44
1242,2966.37
1243,4484.11
1244,3837.64
1245,3296.76
1246,3303.97
1247,3079.39
1248,2949.02
1249,2847.84
1250,2793.19
1251,2752.95
1252,2733.88
1253,2664.08
1254,2756.76
1255,2873.88
1256,2705.96
1257,2544.07
1258,2660.3
1259,1831.41
400,0.25
401,0.24
402,0.25
403,0.24
404,0.23
405,0.24
406,0.24
407,0.24
408,0.23
409,0.24
410,0.24
411,0.22
412,0.24
413,0.24
414,0.24
415,0.25
416,0.25
417,0.25
418,0.25
419,0.24
420,0.25
421,0.24
422,0.24
423,0.28
424,0.25
425,0.24
426,0.25
427,0.25
428,0.24
429,0.25
430,0.23
431,0.23
432,0.23
433,0.22
434,0.23
435,0.24
436,0.23
437,0.24
438,0.25
439,0.24
440,0.24
441,0.23
442,0.23
443,0.23
444,0.22
445,0.22
446,0.21
447,0.18
448,0.17
449,0.18
450,0.21
451,0.19
452,0.21
453,0.47
454,0.25
455,0.25
456,0.45
457,0.59
458,0.91
459,1.24
500,1.63
501,2.46
502,3.51
503,4.33
504,5.85
505,7.62
506,10.24
507,12.76
508,15.93
509,18.7
510,22.47
511,26.64
512,32.57
513,37.12
514,46.88
515,57.63
516,64.29
517,68.38
518,72.3
519,89.12
520,100.74
521,144.24
522,246.57
523,240.57
524,269.33
525,297.55
526,213.96
527,244.68
528,253.26
529,259.05
530,263.67
531,268.58
532,265.16
533,255.29
534,269.27
535,282.68
536,293.94
537,292.06
538,309.47
539,320.67
540,312.17
541,316.94
542,326.27
543,330.12
544,341.65
545,352.48
546,366.86
547,384.81
548,418.05
549,447.6
550,464.98
551,496.67
552,512.02
553,505.99
554,524.37
555,521.41
556,521.49
557,509.7
558,529.59
559,588.47
600,578.4
601,611.1
602,661.67
603,692.57
604,692.12
605,705.22
606,697.61
607,769.76
608,680.23
609,653.24
610,658.72
611,704.3
612,692.65
613,692.69
614,722.89
615,844.56
616,823.49
617,850.1
618,864.93
619,826.8
620,814.92
621,949.09
622,1046.97
623,1011.63
624,1089.63
625,1036.89
626,1102.24
627,1125.59
628,1049.93
629,995.99
630,974.08
631,937.23
632,1028.81
633,1033.41
634,986.43
635,1150.98
636,1237.2
637,1240.6
638,1265.04
639,1283.93
640,1301.24
641,1294.03
642,1310.72
643,1209.62
644,1318.7
645,1353.3
646,1392.05
647,1360.09
648,1420.34
649,1363.43
650,1451.59
651,1481.87
652,1513.01
653,1532.69
654,1549.96
655,1554.81
656,1580.25
657,1604.1
658,1511.57
659,1667.65
700,1481.53
701,1339.68
702,1317.97
703,1333.35
704,1453.65
705,1435
706,1457.49
707,1700.58
708,1811.48
709,1743.82
710,1835.46
711,1842.38
712,1876.05
713,1722.08
714,1916.52
715,1970.38
716,1948.5
717,1787.68
718,1807.9
719,1993.54
720,2039.59
721,2066.72
722,2080.42
723,2095.03
724,2104.65
725,2117.9
726,2133.83
727,2150.9
728,2168.87
729,2183.36
730,2200.23
731,2218.31
732,2242.63
733,2254.16
734,2272.67
735,2289.09
736,2309.95
737,2324.71
738,2341.18
739,2359.97
740,2382.41
741,2393.05
742,2417.27
743,2435.74
744,2461.77
745,2486.72
746,2504.5
747,2507.5
748,2318
749,2510.63
750,2530.7
751,2546.88
752,2573.5
753,2589.57
754,2553.08
755,2607.77
756,2627.69
757,2641.63
758,2640.28
759,2670.61
800,2680.93
801,2700.59
802,2718.22
803,2734.87
804,2744.39
805,2759.15
806,2761.31
807,2768.47
808,2801.47
809,2802.89
810,2827.88
811,2845.74
812,2850.76
813,2860.42
814,2874.18
815,2869.14
816,2902.39
817,2906.05
818,2930.22
819,2934.53
820,2949.37
821,2961.54
822,2974.56
823,2992.54
824,3000.49
825,3015.23
826,3033.7
827,3036.99
828,3048.77
829,3065.28
830,3080.07
831,3092.54
832,3091.97
833,3102.88
834,3104.14
835,3120.59
836,3130.72
837,3142.58
838,3154.67
839,3134.25
840,3187.11
841,3204.33
842,3203.39
843,3224.81
844,3234.44
845,3239.99
846,3249.29
847,3264.82
848,3295.28
849,3314.8
850,3338.36
851,3363.17
852,3375.82
853,3385.14
854,3406.06
855,3413.44
856,3434.2
857,3447.86
858,3458.98
859,3474.64
900,3481.14
901,3491.31
902,3505.16
903,3517.75
904,3528.75
905,3546.81
906,3556.25
907,3564.21
908,3559.44
909,3565.84
910,3573.77
911,3584.52
912,3590.99
913,3625.29
914,3639.68
915,3641.73
916,3660.78
917,3686.18
918,3691.47
919,3690.61
920,3701.67
921,3713.6
922,3724.38
923,3740.63
924,3744.59
925,3754.73
926,3759.58
927,3762.82
928,3781.91
929,3787.3
930,3797.91
931,3796.41
932,3816.53
933,3822.15
934,3815.33
935,3813.77
936,3838.31
937,3833.42
938,3839.06
939,3836.17
940,3860.4
941,3854.63
942,3864.27
943,3872.37
944,3878.41
945,3892.34
946,3899.55
947,3911.5
948,3924.33
949,3936.51
950,3948.55
951,3951.76
952,3955.34
