Time,output
1153,3957.09
1154,3857.27
1155,3084.09
1156,2868.84
1157,3391.05
1158,3275.64
1159,3975.99
1200,3895.13
1201,3660.94
1202,3446.02
1203,2920.1
1204,3058.14
1205,2938.03
1206,2661.02
1207,2494.59
1208,2267.13
1209,2398.69
1210,2857.19
1211,3005.41
1212,2568.92
1213,2692
1214,2927.98
1215,2763.16
1216,3005.92
1217,4012.1
1218,3524.56
1219,2936.51
1220,2977.16
1221,2832.22
1222,2434.44
1223,2292.86
1224,2540.52
1225,3007.78
1226,3265.46
1227,3039.32
1228,3178.58
1229,2789.81
1230,2624.45
1231,2601.98
1232,2764.94
1233,3289.62
1234,3439.96
1235,2557.29
1236,2595.2
1237,3041.06
1238,3265.47
1239,3867.48
1240,3943.52
1241,4344.49
1242,4411.81
1243,4302.53
1244,4246.52
1245,4230.7
1246,4261.74
1247,4334.12
1248,4144.65
1249,4277.72
1250,4189.84
1251,3630.58
1252,3543.14
1253,3515.22
1254,3456.24
1255,3577.17
1256,4314.07
1257,4213
1258,4012.22
1259,3767.94
