,Time,Actual,predicted
0,1516,873.78,1703.6417210949876
1,1530,884.45,1628.7910977436914
2,1624,1579.13,1126.2226266707003
3,1412,3736.65,2259.6749231331914
4,1423,1529.23,2200.863719071458
5,1744,61.88,484.64585508815617
6,1608,42.93,1211.7661962150378
7,1609,1470.83,1206.4197231185171
8,1308,3672.57,2815.7081251713944
9,1653,660.49,971.1749068715853
10,1550,1103.15,1521.8616358132676
11,1651,1530.74,981.8678530646266
12,1453,3518.3,2040.4695261758225
13,1302,1068.55,2847.786963750522
14,1621,1779.12,1142.2620459602622
15,1703,1209.43,703.851252045526
16,1617,336.75,1163.6479383463484
17,1601,1939.61,1249.191507890686
18,1448,1248.91,2067.2018916584284
19,1712,189.27,655.7329941768348
20,1329,3775.72,2703.43219014445
21,1738,541.24,516.7246936672836
22,1558,624.49,1479.089851041097
23,1743,44.92,489.9923281846786
24,1357,3987.98,2553.7309434418567
25,1610,2834.64,1201.0732500219965
26,1636,1424.38,1062.0649495124453
27,1446,157.3,2077.8948378514706
28,1338,3752.41,2655.313932275759
29,1856,0.09,-114.15913172221553
30,1352,2777.38,2580.4633089244626
31,1353,4017.74,2575.116835827941
32,1751,174.05,447.22054341250805
33,1756,412.74,420.48817792990303
34,1639,2118.73,1046.0255302228816
35,1756,133.39,420.48817792990303
36,1833,30.44,8.809749497771918
37,1321,73.62,2746.203974916619
38,1812,1.99,121.08568452471627
39,1531,2001.38,1623.4446246471698
40,1616,241.65,1168.994411442869
41,1618,1709.96,1158.301465249826
42,1747,424.38,468.60643579859425
43,1516,1151.03,1703.6417210949876
44,1614,2691.03,1179.6873576359121
45,1501,738.02,1783.8388175428054
46,1444,3516.53,2088.587784044513
47,1830,46.51,24.849168787335657
48,1720,108.92,612.9612094046661
49,1754,288.7,431.1811241229443
50,1838,0.09,-17.92261598483492
51,1713,1125.31,650.3865210803142
52,1428,3320.92,2174.131353588852
53,1821,182.92,72.96742665602505
54,1612,746.16,1190.3803038289534
55,1832,0.51,14.156222594292558
56,1316,2145.19,2772.9363403992247
57,1325,1076.91,2724.8180825305344
58,1708,292.37,677.1188865629192
59,1401,3505.06,2318.486127194924
60,1347,3807.46,2607.1956744070685
61,1348,4219.99,2601.849201310547
62,1832,8.52,14.156222594292558
63,1737,21.97,522.0711667638061
64,1701,27.07,714.5441982385673
65,1614,799.64,1179.6873576359121
66,1542,647.52,1564.6334205854364
67,1804,116.93,163.85746929688503
68,1504,3321.42,1767.7993982532416
69,1626,213.02,1115.5296804776572
70,1307,1597.56,2821.054598267916
71,1650,643.36,987.2143261611491
72,1423,3811.89,2200.863719071458
73,1620,663.18,1147.6085190567846
74,1836,0.31,-7.229669791791821
75,1448,267.21,2067.2018916584284
76,1719,274.24,618.3076825011867
77,1740,32.88,506.03174747424237
78,1708,853.08,677.1188865629192
79,1302,180.74,2847.786963750522
80,1601,2389.48,1249.191507890686
81,1457,2782.39,2019.083633789738
82,1848,2.24,-71.38734695004678
83,1545,2769.72,1548.5940012958727
84,1540,2785.14,1575.3263667784795
85,1852,0.35,-92.77323933613116
86,1317,3843.23,2767.589867302704
87,1717,82.89,629.0006286942298
88,1430,796.4,2163.43840739581
89,1609,524.04,1206.4197231185171
90,1838,0.21,-17.92261598483492
91,1550,405.16,1521.8616358132676
92,1325,4174.59,2724.8180825305344
93,1341,3950.27,2639.274512986195
